Formula, something, somethingelse,Formula_mono_iso_wt_nat
C36H46O14,12,14,702.2887562
C36H46O14,13,14,738.4095303
C36H46O14,12,15,702.2887562
C36H46O14,13,15,738.4095303
C37H66N7O17P3S,12,14,1005.344874
C37H66N7O17P3S,13,14,1042.469003
C37H66N7O17P3S,12,15,1012.324118
C37H66N7O17P3S,13,15,1049.448247
C13H15NO6,12,14,281.0899372
C13H15NO6,13,14,294.1335501
C13H15NO6,12,15,282.0869721
C13H15NO6,13,15,295.130585
C21H37ClN+,12,14,338.2609043
C21H37ClN+,13,14,359.3313559
C21H37ClN+,12,15,339.2579392
C21H37ClN+,13,15,360.3283908
C16H25N5O6,12,14,383.1804836
C16H25N5O6,13,14,399.234161
C16H25N5O6,12,15,388.165658
C16H25N5O6,13,15,404.2193354
C6H13NO2S,12,14,163.0666994
C6H13NO2S,13,14,169.0868284
C6H13NO2S,12,15,164.0637343
C6H13NO2S,13,15,170.0838633
C9H10N2O,12,14,162.079313
C9H10N2O,13,14,171.1095065
C9H10N2O,12,15,164.0733827
C9H10N2O,13,15,173.1035763
C19H24N8O10S3,12,14,620.0777511
C19H24N8O10S3,13,14,639.141493
C19H24N8O10S3,12,15,628.0540302
C19H24N8O10S3,13,15,647.1177722
C14H21NO,12,14,219.1623143
C14H21NO,13,14,233.209282
C14H21NO,12,15,220.1593492
C14H21NO,13,15,234.2063169
C19H16Cl2N2O4S,12,14,438.0207831
C19H16Cl2N2O4S,13,14,457.084525
C19H16Cl2N2O4S,12,15,440.0148529
C19H16Cl2N2O4S,13,15,459.0785948
C16H20NO4+,12,14,290.1386846
C16H20NO4+,13,14,306.192362
C16H20NO4+,12,15,291.1357194
C16H20NO4+,13,15,307.1893969
C19H24N7O8P,12,14,509.1423973
C19H24N7O8P,13,14,528.2061392
C19H24N7O8P,12,15,516.1216415
C19H24N7O8P,13,15,535.1853835
C22H32O2,12,14,328.2402303
C22H32O2,13,14,350.3140367
C22H32O2,12,15,328.2402303
C22H32O2,13,15,350.3140367
C22H32O3,12,14,344.2351449
C22H32O3,13,14,366.3089513
C22H32O3,12,15,344.2351449
C22H32O3,13,15,366.3089513
C4H5N3O2,12,14,127.0381764
C4H5N3O2,13,14,131.0515958
C4H5N3O2,12,15,130.0292811
C4H5N3O2,13,15,134.0427005
C29H33ClN2O2,12,14,476.223056
C29H33ClN2O2,13,14,505.3203463
C29H33ClN2O2,12,15,478.2171258
C29H33ClN2O2,13,15,507.3144161
C22H32O6,12,14,392.2198888
C22H32O6,13,14,414.2936952
C22H32O6,12,15,392.2198888
C22H32O6,13,15,414.2936952
C22H32O7,12,14,408.2148034
C22H32O7,13,14,430.2886098
C22H32O7,12,15,408.2148034
C22H32O7,13,15,430.2886098
C42H70O14,12,14,798.476557
C42H70O14,13,14,840.6174601
C42H70O14,12,15,798.476557
C42H70O14,13,15,840.6174601
C6H11N2O4PS3,12,14,301.9618554
C6H11N2O4PS3,13,14,307.9819845
